user_id,book_id,rating
1415,2756,3.0
1872,8223,4.0
268,3329,4.0
1088,5390,4.0
773,2809,5.0
114,299,5.0
497,2019,2.0
15,388,4.0
777,7476,5.0
599,376,2.0
895,2356,5.0
358,77,4.0
265,6910,4.0
1553,4171,5.0
128,2,3.0
843,607,5.0
666,101,4.0
1647,7190,4.0
1117,1533,5.0
1539,112,4.0
1729,748,4.0
1832,809,5.0
564,2407,5.0
1841,779,5.0
1769,2952,4.0
1882,16,4.0
292,1597,3.0
1980,1440,4.0
1500,6417,4.0
229,466,5.0
714,288,5.0
1644,4977,5.0
1551,8573,4.0
608,6384,5.0
318,1936,5.0
1308,4147,5.0
1852,8998,4.0
796,1863,4.0
390,4921,4.0
908,3672,1.0
1077,619,5.0
1414,8320,4.0
818,61,5.0
1996,5464,3.0
1581,9447,4.0
87,2347,3.0
752,1677,1.0
905,145,5.0
158,1152,3.0
1770,63,4.0
453,1085,4.0
795,229,5.0
1569,176,4.0
1202,1029,4.0
1899,2980,2.0
451,5439,3.0
1114,1016,3.0
940,149,5.0
1531,451,5.0
1770,31,5.0
1478,9558,4.0
1251,2921,5.0
1693,6295,5.0
277,2453,5.0
13,5186,5.0
960,3958,2.0
838,318,3.0
541,3623,4.0
1642,4398,3.0
636,5508,4.0
1591,7515,4.0
1703,528,5.0
1564,789,4.0
685,6419,5.0
1236,216,4.0
147,9013,3.0
1615,2356,5.0
730,1703,3.0
1828,8869,3.0
678,4766,2.0
1825,1120,4.0
1926,3585,4.0
1331,778,3.0
1251,2046,4.0
879,7392,4.0
1352,302,5.0
1994,775,5.0
1312,236,4.0
224,981,3.0
1640,5693,4.0
33,84,4.0
1985,6595,1.0
1316,6743,5.0
1804,7948,4.0
1304,388,4.0
1040,9906,3.0
1635,1025,3.0
1061,78,5.0
414,363,4.0
1669,445,5.0
467,1332,4.0
461,511,5.0
9,262,5.0
134,220,4.0
877,1511,3.0
1441,3,3.0
1269,339,1.0
541,419,3.0
17,2461,5.0
761,1464,3.0
1620,4988,5.0
806,1477,2.0
1667,465,3.0
1882,81,5.0
1288,893,4.0
484,25,5.0
1180,31,4.0
469,3298,5.0
1313,3752,4.0
1483,3575,4.0
1905,607,4.0
1367,8114,4.0
1201,321,3.0
177,1512,5.0
1855,9651,2.0
190,1644,4.0
1511,592,3.0
902,2394,4.0
33,247,4.0
1501,4934,4.0
754,1331,2.0
1037,1121,3.0
1606,3241,4.0
1131,7,5.0
57,5112,2.0
1918,3913,3.0
998,202,5.0
65,1385,5.0
758,1192,4.0
1832,209,4.0
260,584,4.0
1175,8655,2.0
1503,8850,4.0
682,1172,3.0
1311,9,5.0
457,27,1.0
1722,615,5.0
860,3739,4.0
21,2,3.0
341,1425,4.0
269,236,4.0
1962,16,5.0
121,6008,3.0
347,514,5.0
1818,7929,4.0
102,265,4.0
792,784,3.0
446,1936,4.0
961,1670,5.0
1943,4988,5.0
1738,4780,2.0
473,1549,4.0
1112,6846,5.0
1253,7550,5.0
1111,5360,5.0
1840,9278,2.0
1541,4340,4.0
1781,617,2.0
1432,8032,1.0
1768,412,3.0
436,1,4.0
1748,1667,4.0
22,111,4.0
461,3409,5.0
1658,8433,5.0
575,3934,2.0
1728,79,5.0
966,3082,1.0
1988,3122,5.0
1317,2010,3.0
43,3109,5.0
